-43	0	1863	1580
-35	55	1954	1575
-29	281	1910	1601
-23	483	1967	1701
-11.5	545	1974	1780
-7	567	1922	1828
-6	502	1932	1677
0	557	1856	1949
6	567	1848	2004
12	563	1770	1962
18	513	1668	1920
24	489	1631	1817
32	356	1610	1928
38	179	1623	1927
44	37	1531	1883
50	4	1497	1863

